GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Charts Coverage/charts,de.slothsoft.charts.internal,DelegatingGraphicContext,5,101,0,0,2,30,1,16,1,16
Charts Coverage/charts,de.slothsoft.charts.internal,LogGraphicContext,0,315,0,4,0,39,0,18,0,16
Charts Coverage/charts,de.slothsoft.charts.internal,RefreshListeners,0,63,0,4,0,14,0,7,0,5
Charts Coverage/charts,de.slothsoft.charts.barchart,Bar,17,68,0,4,1,25,1,11,1,9
Charts Coverage/charts,de.slothsoft.charts.barchart,XYAxis,0,57,0,0,0,10,0,3,0,3
Charts Coverage/charts,de.slothsoft.charts.barchart,BarChart,0,205,0,6,0,51,0,16,0,13
Charts Coverage/charts,de.slothsoft.charts.linechart,XAxis.Position.new XAxis.Position() {...},0,13,0,0,0,4,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,XAxis.Position.new XAxis.Position() {...},0,10,0,0,0,3,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,XAxis.Position.new XAxis.Position() {...},0,10,0,0,0,3,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,XAxis.Position.new XAxis.Position() {...},0,10,0,0,0,3,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,XAxis.Position.new XAxis.Position() {...},1,6,0,0,1,1,1,1,1,1
Charts Coverage/charts,de.slothsoft.charts.linechart,FlipYGraphicContext,0,68,0,2,0,18,0,9,0,8
Charts Coverage/charts,de.slothsoft.charts.linechart,XAxis.Position.new XAxis.Position() {...},0,14,0,0,0,3,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,Line,0,51,0,2,0,16,0,8,0,7
Charts Coverage/charts,de.slothsoft.charts.linechart,LineChart,0,656,1,23,0,136,1,42,0,31
Charts Coverage/charts,de.slothsoft.charts.linechart,XAxis.Position,0,64,0,0,0,7,0,1,0,1
Charts Coverage/charts,de.slothsoft.charts.linechart,YAxis.Position,0,64,0,0,0,7,0,1,0,1
Charts Coverage/charts,de.slothsoft.charts.linechart,FunctionLine,0,148,0,4,0,36,0,12,0,10
Charts Coverage/charts,de.slothsoft.charts.linechart,YAxis.Position.new YAxis.Position() {...},0,10,0,0,0,3,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,YAxis.Position.new YAxis.Position() {...},0,13,0,0,0,4,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,YAxis.Position.new YAxis.Position() {...},0,10,0,0,0,3,0,2,0,2
Charts Coverage/charts,de.slothsoft.charts.linechart,YAxis.Position.new YAxis.Position() {...},1,6,0,0,1,1,1,1,1,1
Charts Coverage/charts,de.slothsoft.charts.linechart,YAxis.Position.new YAxis.Position() {...},0,14,0,0,0,3,0,2,0,2
